Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
setup_files,0-2026.09.05.05.47,https://github.com/v4hn/setup_files/tree/main,success,setup_files_0-2026.09.05.05.47-bloom_generate.log,ros-one-setup-files_0-2026.09.05.05.47_amd64-2026-09-05T05:47:03Z.build,ros-one-setup-files_0-2026.09.05.05.47_amd64.deb,ros-one-setup-files_0-2026.09.05.05.47_amd64.files
ros_environment,1.3.2-5-gee6d167-2026.09.05.05.47,https://github.com/ros-o/ros_environment/tree/debian,success,ros_environment_1.3.2-5-gee6d167-2026.09.05.05.47-bloom_generate.log,ros-one-ros-environment_1.3.2-5-gee6d167-2026.09.05.05.47_amd64-2026-09-05T05:47:32Z.build,ros-one-ros-environment_1.3.2-5-gee6d167-2026.09.05.05.47_amd64.deb,ros-one-ros-environment_1.3.2-5-gee6d167-2026.09.05.05.47_amd64.files
cob_extern,0.6.19-4-g4fe99c8-2026.09.05.05.49,https://github.com/ipa320/cob_extern/tree/indigo_dev,success,cob_extern_0.6.19-4-g4fe99c8-2026.09.05.05.49-bloom_generate.log,ros-one-cob-extern_0.6.19-4-g4fe99c8-2026.09.05.05.49_amd64-2026-09-05T05:49:39Z.build,ros-one-cob-extern_0.6.19-4-g4fe99c8-2026.09.05.05.49_amd64.deb,ros-one-cob-extern_0.6.19-4-g4fe99c8-2026.09.05.05.49_amd64.files
libdlib,0.6.19-4-g4fe99c8-2026.09.05.05.50,https://github.com/ipa320/cob_extern/tree/indigo_dev,success,libdlib_0.6.19-4-g4fe99c8-2026.09.05.05.50-bloom_generate.log,ros-one-libdlib_0.6.19-4-g4fe99c8-2026.09.05.05.50_amd64-2026-09-05T05:50:08Z.build,ros-one-libdlib_0.6.19-4-g4fe99c8-2026.09.05.05.50_amd64.deb,ros-one-libdlib_0.6.19-4-g4fe99c8-2026.09.05.05.50_amd64.files
libntcan,0.6.19-4-g4fe99c8-2026.09.05.05.54,https://github.com/ipa320/cob_extern/tree/indigo_dev,success,libntcan_0.6.19-4-g4fe99c8-2026.09.05.05.54-bloom_generate.log,ros-one-libntcan_0.6.19-4-g4fe99c8-2026.09.05.05.54_amd64-2026-09-05T05:54:58Z.build,ros-one-libntcan_0.6.19-4-g4fe99c8-2026.09.05.05.54_amd64.deb,ros-one-libntcan_0.6.19-4-g4fe99c8-2026.09.05.05.54_amd64.files
libpcan,0.6.19-4-g4fe99c8-2026.09.05.05.55,https://github.com/ipa320/cob_extern/tree/indigo_dev,success,libpcan_0.6.19-4-g4fe99c8-2026.09.05.05.55-bloom_generate.log,ros-one-libpcan_0.6.19-4-g4fe99c8-2026.09.05.05.55_amd64-2026-09-05T05:55:29Z.build,ros-one-libpcan_0.6.19-4-g4fe99c8-2026.09.05.05.55_amd64.deb,ros-one-libpcan_0.6.19-4-g4fe99c8-2026.09.05.05.55_amd64.files
libphidgets,0.6.19-4-g4fe99c8-2026.09.05.05.56,https://github.com/ipa320/cob_extern/tree/indigo_dev,success,libphidgets_0.6.19-4-g4fe99c8-2026.09.05.05.56-bloom_generate.log,ros-one-libphidgets_0.6.19-4-g4fe99c8-2026.09.05.05.56_amd64-2026-09-05T05:56:03Z.build,ros-one-libphidgets_0.6.19-4-g4fe99c8-2026.09.05.05.56_amd64.deb,ros-one-libphidgets_0.6.19-4-g4fe99c8-2026.09.05.05.56_amd64.files
opengm,0.6.19-4-g4fe99c8-2026.09.05.05.56,https://github.com/ipa320/cob_extern/tree/indigo_dev,failed-sbuild,opengm_0.6.19-4-g4fe99c8-2026.09.05.05.56-bloom_generate.log,ros-one-opengm_0.6.19-4-g4fe99c8-2026.09.05.05.56_amd64-2026-09-05T05:56:59Z.build,,
cpp_common,0.7.3-4-g34fad8c-2026.09.05.05.50,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,cpp_common_0.7.3-4-g34fad8c-2026.09.05.05.50-bloom_generate.log,ros-one-cpp-common_0.7.3-4-g34fad8c-2026.09.05.05.50_amd64-2026-09-05T05:50:09Z.build,ros-one-cpp-common_0.7.3-4-g34fad8c-2026.09.05.05.50_amd64.deb,ros-one-cpp-common_0.7.3-4-g34fad8c-2026.09.05.05.50_amd64.files
media_export,0.3.0-2026.09.05.05.50,https://github.com/ros/media_export/tree/kinetic-devel,success,media_export_0.3.0-2026.09.05.05.50-bloom_generate.log,ros-one-media-export_0.3.0-2026.09.05.05.50_amd64-2026-09-05T05:50:44Z.build,ros-one-media-export_0.3.0-2026.09.05.05.50_amd64.deb,ros-one-media-export_0.3.0-2026.09.05.05.50_amd64.files
